wardcode,wardname,constituencycode,constituencyname
95U 23,Abbey,N06000002,Belfast North
95O 19,Abbey Park,N06000011,Newry and Armagh
95G 13,Academy,N06000012,North Antrim
95N 03,Aghagallon,N06000017,Upper Bann
95B 02,Aghanloo,N06000006,East Londonderry
95C 02,Agivey,N06000006,East Londonderry
95G 06,Ahoghill,N06000012,North Antrim
95T 18,Aldergrove,N06000014,South Antrim
95M 06,Altmore,N06000010,Mid Ulster
95A 09,Altnagelvin,N06000008,Foyle
95Z 27,Andersonstown,N06000004,Belfast West
95N 13,Annagh,N06000017,Upper Bann
95P 01,Annalong,N06000015,South Down
95F 11,Antiville,N06000005,East Antrim
95I 10,Ardboe,N06000010,Mid Ulster
95G 20,Ardeevin,N06000012,North Antrim
95R 14,Ardglass,N06000015,South Down
95Z 43,Ardoyne,N06000002,Belfast North
95E 07,Armoy,N06000012,North Antrim
95J 11,Artigarvan,N06000018,West Tyrone
95C 08,Atlantic,N06000006,East Londonderry
95R 10,Audleys Acre,N06000015,South Down
95M 03,Augher,N06000007,Fermanagh and South Tyrone
95M 16,Aughnacloy,N06000007,Fermanagh and South Tyrone
95G 22,Ballee,N06000012,North Antrim
95L 09,Ballinamallard,N06000007,Fermanagh and South Tyrone
95S 02,Ballinderry,N06000009,Lagan Valley
95T 10,Balloo,N06000014,South Antrim
95N 10,Ballybay,N06000017,Upper Bann
95P 18,Ballybot,N06000011,Newry and Armagh
95F 14,Ballycarry,N06000005,East Antrim
95U 03,Ballyclare North,N06000014,South Antrim
95U 04,Ballyclare South,N06000014,South Antrim
95J 16,Ballycolman,N06000018,West Tyrone
95T 16,Ballycraigy,N06000014,South Antrim
95W 07,Ballycrochan,N06000013,North Down
95Q 15,Ballydown,N06000017,Upper Bann
95U 11,Ballyduff,N06000014,South Antrim
95M 04,Ballygawley,N06000007,Fermanagh and South Tyrone
95X 02,Ballygowan,N06000016,Strangford
95Z 05,Ballyhackamore,N06000001,Belfast East
95Y 05,Ballyhanwood,N06000001,Belfast East
95U 16,Ballyhenry,N06000002,Belfast North
95D 05,Ballyhoe and Corkey,N06000012,North Antrim
95W 03,Ballyholme,N06000013,North Down
95G 24,Ballykeel,N06000012,North Antrim
95B 10,Ballykelly,N06000006,East Londonderry
95F 10,Ballyloran,N06000005,East Antrim
95E 02,Ballylough,N06000012,North Antrim
95G 14,Ballyloughan,N06000012,North Antrim
95Z 03,Ballymacarrett,N06000001,Belfast East
95S 17,Ballymacash,N06000009,Lagan Valley
95S 08,Ballymacbrennan,N06000009,Lagan Valley
95W 05,Ballymaconnell,N06000013,North Down
95S 16,Ballymacoss,N06000009,Lagan Valley
95W 06,Ballymagee,N06000013,North Down
95R 04,Ballymaglave,N06000016,Strangford
95H 13,Ballymaguigan,N06000010,Mid Ulster
95O 04,Ballymartrim,N06000011,Newry and Armagh
95R 11,Ballymote,N06000015,South Down
95Z 14,Ballynafeigh,N06000003,Belfast South
95R 03,Ballynahinch East,N06000016,Strangford
95A 29,Ballynashallog,N06000008,Foyle
95U 05,Ballynure,N06000014,South Antrim
95N 08,Ballyoran,N06000017,Upper Bann
95X 08,Ballyrainey,N06000016,Strangford
95U 06,Ballyrobert,N06000014,South Antrim
95M 18,Ballysaggart,N06000007,Fermanagh and South Tyrone
95C 12,Ballysally,N06000006,East Londonderry
95Z 45,Ballysillan,N06000002,Belfast North
95X 20,Ballywalter,N06000016,Strangford
95Q 06,Ballyward,N06000015,South Down
95A 01,Banagher,N06000006,East Londonderry
95Q 13,Banbridge West,N06000017,Upper Bann
95W 09,Bangor Castle,N06000013,North Down
95Q 04,Bannside,N06000015,South Down
95Y 22,Beechill,N06000003,Belfast South
95Z 32,Beechmount,N06000004,Belfast West
95A 20,Beechwood,N06000008,Foyle
95L 14,Belcoo and Garrison,N06000007,Fermanagh and South Tyrone
95H 09,Bellaghy,N06000010,Mid Ulster
95L 13,Belleek and Boa,N06000007,Fermanagh and South Tyrone
95Z 51,Bellevue,N06000002,Belfast North
95Z 06,Belmont,N06000001,Belfast East
95M 14,Benburb,N06000007,Fermanagh and South Tyrone
95D 01,Benvardin,N06000012,North Antrim
95K 09,Beragh,N06000018,West Tyrone
95P 22,Bessbrook,N06000011,Newry and Armagh
95P 02,Binnian,N06000015,South Down
95F 04,Blackcave,N06000005,East Antrim
95V 01,Blackhead,N06000005,East Antrim
95Z 19,Blackstaff,N06000003,Belfast South
95S 11,Blaris,N06000009,Lagan Valley
95N 07,Bleary,N06000017,Upper Bann
95W 10,Bloomfield,N06000013,North Down
95Z 04,Bloomfield,N06000001,Belfast East
95V 05,Bluefield,N06000005,East Antrim
95L 16,"Boho, Cleenish and Letterbreen",N06000007,Fermanagh and South Tyrone
95E 11,Bonamargy and Rathlin,N06000012,North Antrim
95V 04,Boneybefore,N06000005,East Antrim
