wardname,wardcode,electors,constituencyname,constituencycode
ABBEY,N08000101,2281,East Antrim,5
ABBEY,N08001001,2635,Newry and Armagh,9
ACADEMY,N08000801,2110,West Antrim,16
AGHADOWEY,N08000401,2528,Glenshane,8
AGHAGALLON,N08000201,3408,Upper Bann and Blackwater,15
AHOGHILL,N08000802,2576,West Antrim,16
ALDERGROVE,N08000102,2524,South Antrim,12
ALTAHULLION,N08000402,2205,Glenshane,8
ANDERSONSTOWN,N08000301,3641,Belfast South West,3
ANNALONG,N08001002,2959,South Down,13
ANTRIM CENTRE,N08000103,2583,South Antrim,12
ARDBOE,N08000901,2622,North Tyrone,11
ARDEEVIN,N08000803,2344,West Antrim,16
ARDOYNE,N08000302,3645,Belfast North West,2
ARTIGARVAN,N08000501,2564,North Tyrone,11
ATLANTIC,N08000403,2463,Dalriada,4
AUGHER and CLOGHER,N08000902,2456,Fermanagh and South Tyrone,6
AUGHNACLOY,N08000903,2246,Fermanagh and South Tyrone,6
BALLEE and HARRYVILLE,N08000804,2299,West Antrim,16
BALLINAMALLARD,N08000601,2084,Fermanagh and South Tyrone,6
BALLINDERRY,N08000701,2693,South Antrim,12
BALLYBAY,N08000202,3008,Upper Bann and Blackwater,15
BALLYBOT,N08001003,3165,Newry and Armagh,9
BALLYCARRY and GLYNN,N08000805,2617,East Antrim,5
BALLYCASTLE,N08000404,2360,Dalriada,4
BALLYCLARE EAST,N08000104,2580,West Antrim,16
BALLYCLARE WEST,N08000105,2647,West Antrim,16
BALLYCOLMAN,N08000502,2570,North Tyrone,11
BALLYCROCHAN,N08001101,2602,North Down,10
BALLYDUFF,N08000106,2332,West Antrim,16
BALLYDUGAN,N08001004,2620,South Down,13
BALLYGAWLEY,N08000904,2292,Fermanagh and South Tyrone,6
BALLYGOMARTIN,N08000303,3994,Belfast North West,2
BALLYGOWAN,N08001102,3063,Strangford,14
BALLYGRAINEY,N08001103,3202,North Down,10
BALLYHANWOOD,N08000702,2228,North Down,10
BALLYHENRY,N08000107,2107,West Antrim,16
BALLYHOLME,N08001104,2891,North Down,10
BALLYKEEL,N08000806,2159,West Antrim,16
BALLYKELLY,N08000405,2318,Glenshane,8
BALLYMACARRETT,N08000304,3528,Belfast East,1
BALLYMACASH,N08000703,2290,South Antrim,12
BALLYMACBRENNAN,N08000704,2293,West Down,17
BALLYMACOSS,N08000705,3064,South Antrim,12
BALLYMAGEE,N08001105,2995,North Down,10
BALLYMAGROARTY,N08000503,2606,Foyle,7
BALLYMAGUIGAN,N08000905,2614,Glenshane,8
BALLYMONEY EAST,N08000406,2153,Dalriada,4
BALLYMONEY NORTH,N08000407,2483,Dalriada,4
BALLYMONEY SOUTH,N08000408,2190,Dalriada,4
BALLYMURPHY,N08000305,3377,Belfast South West,3
BALLYNAHINCH,N08001005,2884,Strangford,14
BALLYNURE,N08000108,2519,West Antrim,16
BALLYROBERT,N08000109,2469,West Antrim,16
BALLYSAGGART,N08000906,1947,Upper Bann and Blackwater,15
BALLYSILLAN,N08000306,3333,Belfast North West,2
BALLYWALTER,N08001106,3161,Strangford,14
BALLYWARD,N08001006,2986,South Down,13
BANBRIDGE EAST,N08000203,3148,West Down,17
BANBRIDGE NORTH,N08000204,3129,West Down,17
BANBRIDGE SOUTH,N08000205,3311,West Down,17
BANBRIDGE WEST,N08000206,3623,West Down,17
BEECHILL,N08000706,2396,West Down,17
BEECHMOUNT,N08000307,3497,Belfast North West,2
